Headline,Body_ID,Stance
Was The Batmobile Stolen In Detroit?,761,3
CNN Airs Alleged Audio from Michael Brown Shooting,900,3
Apple was forced to nix key health features from its smartwatch -- report,821,3
EBay appears to be planning an Apple Watch app,1397,2
ISIS Reportedly Beheads American Photojournalist in Iraq,1569,3
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1471,0
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1137,3
NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,1167,2
Media outlets identify 'Jihadi John',1489,2
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2045,3
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,633,3
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,1034,3
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,2458,3
"Apple Watch Gold Edition may cost as much as $5,000",239,3
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,844,3
"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",2472,3
Report: Nigerian Woman Quarantined in KC with Ebola-Like Symptoms (Video),1343,2
Wayward sister ‘nun the wiser’ about baby,2388,3
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",398,3
"Islamic State Training Pilots in Military Jets, Monitors Say",296,3
Passenger Wears A Hazmat Suit To Dulles Airport [PHOTO],2211,3
Lucita Sandoval sex tape hoax: Viral Argentine video features college student ― not 16-year-old boy,933,3
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1786,3
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1473,2
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1223,3
Boston.com retracts claim about racist email from professor,1863,2
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,1234,3
Video shows ISIL beheading of photojournalist James Foley,1658,0
Audio of gunfire in Michael Brown case authenticated by app company,2187,3
Is Kim Jong-Un Really Opening a Restaurant in Scotland?,1776,3
‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,1047,3
Iraqi media: ISIS militants have contracted Ebola,1899,3
"Predator Drone Reportedly Sighted Circling Raqqa, Syria",2186,3
Banksy arrest hoax: US website claims street artist caught in Watford,949,0
Canadian-Israeli woman reportedly kidnapped by ISIS: Jerusalem Post,2142,2
Comcast blocks Tor,1572,2
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,2497,2
"Despite ceasefire announcement, new Boko Haram attacks reported",2045,3
ESPN to save NFL's image with all-male domestic abuse discussion,825,3
Willie Nelson Dead? Internet Freaks Out As Another Celebrity Death Hoax Makes The Rounds,1383,3
ISIS Beheads American Journalist James Foley in Video Message to U.S.,1358,3
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,2313,3
"If you really believed Colorado KFCs were selling pot, here’s a reality check",1277,3
"Boko Haram Cease-Fire: Abducted Nigerian Schoolgirls To Be Released, Officials Say",171,3
Islamic State using 'SCORPION bombs' to terrorise victims,874,3
Obama: murder of James Foley 'shocks the conscience of the entire world',1905,3
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),2328,3
Mirfield man's tears of joy after lost voicemail of wife retrieved,996,0
"Video showing American journalist beheaded believed real, officials and family say",1339,3
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1002,2
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',1888,3
This Is a Truly Horrifying Story About a Spider,1864,2
Video Purports To Show Beheading Of U.S. Journalist By Militants,1580,2
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,754,3
British Man Slaps People If They Sneeze In Public,298,3
British aid worker David Haines beheaded by ISIL,2102,0
"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",137,3
NEWS/ You'll Never Guess How a Homeless Man Spent $100—Watch the Touching Video!,2305,0
Vladimir Putin Bird Poop Video is Fake,2174,1
"Comcast Turns Complaints Back On Customer, Gets His Employer To Fire Him",1814,3
Meteor Leaves 40-Foot Crater Near Managua's Airport,961,0
British hostage David Haines beheaded by Islamic State terrorists,787,3
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,720,3
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,529,3
"No, a bird didn't poop on Vladimir Putin",1938,3
Missing Planes,1022,3
Al-Shabaab Terror Group Leader Killed in U.S. Airstrike,981,0
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,2070,0
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1954,2
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1442,2
20-Year-Old Quarter Pounder Looks About the Same,1034,3
It's back! The incredible new Batmobile takes a spin around Detroit... after rumors it had been STOLEN,1528,2
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,1347,3
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,190,3
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1263,1
Michael Brown shooting audio caught on tape?,1974,3
"What they earn: Vice CEO Shane Smith’s $300,000 steak dinner",1791,0
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,1853,3
ISIS Getting Ebola,1921,3
CPWD official sacked for absence from duty for 25 years,1323,3
SEE IT: NBC meteorologist Mike Seidel appears to relieve himself during broadcast; network says he was looking for phone,775,3
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,1660,3
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,2240,3
North Korea dictator Kim Jong-un 'set to open a new restaurant in SCOTLAND',2309,2
British man pays $460 to save constipated goldfish's life,271,3
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,1291,3
Report: Christian Bale Will Play Steve Jobs,1939,3
Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,742,2
Video Purports to Show Beheading of American Journalist,2115,3
Tiger Woods' agent shoots down report of failed drug test,1589,3
WHO says reports of suspected Ebola cases in Iraq are untrue,1004,3
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,35,3
Report: US Drones Over Syria Looking for ISIS Leader Abu Bakr al-Baghdadi,2283,3
Durex on Rumored ‘Pumpkin Spice’ Condom: No Comment,72,3
Media reports identify Londoner as Islamic State's ‘Jihadi John’,1256,3
"Fidel Castro Rumors Sweep Internet, but No Sign in Cuba",1439,3
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1426,3
Isis video claims to show beheading of British hostage David Haines,2440,2
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",1848,3
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,872,2
Meteorite strike in Nicaragua puzzles experts,217,2
Nigeria and Boko Haram 'agree ceasefire and girls' release',381,3
"Don't forget to tip...especially if you spend $300,000",737,3
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,833,3
Seth Rogen Eyed to Play Apple's Steve Wozniak in Christian Bale's Steve Jobs Movie (Exclusive),2410,3
Does Vogue's New Office Have a Rat Infestation?,387,3
Eggnog-chugging contest leads to hospital stay,60,3
"Fidel Castro Is Dead, According to Viral Twitter Rumors",992,3
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",879,3
Magic mushrooms found at Buckingham Palace,562,3
Who Should Play Steve Jobs Now That Christian Bale Quit?,1406,3
CNN Airs Alleged Audio from Michael Brown Shooting,958,3
"Boko Haram Denies Ceasefire, Says Kidnapped Girls Are Now Married",171,3
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,2463,2
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1631,3
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2483,3
ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,251,3
"No, Banksy hasn’t been arrested",1296,3
Former PGA Tour player: Tiger Woods suspended for drug test failure,1589,3
You're Not Going to Become Weightless on January 4th,169,3
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1022,3
"Boko Haram agrees to ceasefire, release of school girls",1195,2
"Spider burrowed into appendix scar, crawled through WA man's body",1923,1
This Dog Was Left At A Railway Station With A Suitcase Of His Belongings After He Was Sold On Gumtree,2483,0
"NYPD to issue tickets instead of arrest for weed possession, report says",1217,3
North Korea denies plans to open a restaurant in Scotland,1217,3
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,320,3
Ferguson riots: audio may have captured Michael Brown shooting,321,3
Man cut off manhood and threw it in bin after girlfriend dumped him over small penis,1400,3
FBI Probing Alleged Audio of Michael Brown Shooting,2317,2
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',803,3
High School Student Rumored to Have Made $72 Million Trading Stocks,1693,3
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,826,3
"Yang Hu, worker in Zhejiang, cuts off own penis over desperation of finding love",686,3
"Islamic State Militants Have Been Flying 3 Captured Warplanes Over Syrian Airport, Witnesses Say",487,3
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",781,3
Islamic State Leader al-Baghdadi “Not Dead”,518,3
ISIS executioner 'Jihadi John' named by media,2165,2
‘The cub of Baghdadi': ISIS reports its youngest jihadist ‘got martyred’ in battle,6,2
Insurgents killed in Nigeria despite alleged truce with Boko Haram,423,2
The rats eat Prada at Vogue NY office,387,3
Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,1095,3
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,1422,3
Report: Possible audio tape of Michael Brown shooting,1803,3
Macaulay Culkin dead hoax: Fake death report spreads on social networks,1545,0
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1840,3
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,2078,3
WHO says reports of suspected Ebola cases in Iraq are untrue,5,3
Tiger Woods serving secret PED suspension?,1339,2
"Boko Haram Denies Truce, Says Kidnapped Girls Have Been “Married Off”",1681,2
BREAKING: British-born hostage 'KILLED in failed rescue attempt',170,3
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,1398,2
Report: Exec popped for $300k dinner after run at blackjack,640,3
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1519,3
Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,1143,3
Amazon Is Opening a Brick-and-Mortar Store in Manhattan,195,3
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,72,3
Google Grows With $1.6 Billion in California Office Deals,1372,3
North Korean dictator Kim Jong-Un to open restaurant in Scotland,1487,2
Islamic State Flying Three Jets in Syria,2362,3
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1921,3
Journalist James Wright Foley reportedly beheaded by ISIS,991,2
Texas plumber's truck on front line of Syria war,34,3
Nigeria and Boko Haram 'agree ceasefire and girls' release',1374,3
"Source: Pot in NYC may soon net just a ticket, not arrest",2372,2
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,1948,3
Eggnog-chugging contest leads to hospital stay,1931,3
New Audio Shows Michael Brown Was Shot at 11 Times,662,3
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",832,3
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2141,3
"Yang Hu, worker in Zhejiang, cuts off own penis over desperation of finding love",1251,3
'Sex attacker' has penis cut off with a cleaver in India,1500,3
Insurgents killed in Nigeria despite alleged truce with Boko Haram,2156,3
"Boko Haram denies truce, says kidnapped girls married",344,3
Obama denounces killing of journalist James Foley and pledges ‘justice’,1982,3
Prisoner Released in Bergdahl Exchange Tried to Reconnect With Taliban,592,3
"Apple Watch Gold Edition may cost as much as $5,000",972,3
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,2033,3
Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,1846,0
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,186,3
Not coming to a store near you: The pumpkin spice condom,0,3
How Canadian Sergeant-at-Arms Kevin Vickers killed shooter in parliament,1472,2
“Willie Nelson dead 2015” : Guitarist killed by internet death hoax,2046,3
"Canterbury Christ Church University student Jess Smith, from Chatham, starred as Teletubbies' sun",2076,0
No One In North Korea Is Allowed To Share Kim Jong Un's Name,2106,3
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,2417,2
Apple may launch 12-inch MacBook Air with Retina Display,2087,3
Kim Jong-Un's sister reportedly running N. Korea,2344,2
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1720,3
Amazon's Newest Tablet Will Come With Free News From The Washington Post,1224,3
ISIS Militants Allegedly Contracted Ebola,2138,2
Did a Meteorite Impact in Nicaragua over the Weekend?,10,3
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,574,3
Meet the 17-Year-Old Who Made $72 Million During His High-School Lunch Breaks,2526,3
ISIS Claims To Have Captured US Airdrop Weapons,2509,2
Macaulay Culkin Dead?,690,3
Texas City plumber's truck ends up in Syrian war,2084,3
Mexico checks if 43 missing students in mass grave,983,2
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1430,2
This Kid Made $72 Million During Lunch,313,3
South Korea: Kim Jong Un had ankle surgery to remove cyst,1689,3
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",612,3
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,2127,3
Mexico finds 4 more graves at site of suspected student massacre,1772,3
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1206,2
"Video showing American journalist beheaded believed real, officials and family say",1786,3
Tourist dubbed ‘Spider Man’ after spider burrows under skin for days,1375,3
Pentagon: ISIS Got U.S. Weapons Package,666,3
Christian Bale will not play Steve Jobs,1131,2
"Mexico hit by student massacre: At least 17 anti-corruption protesters 'rounded up, murdered and dumped in a mass grave' - and another 26 are missing",1808,3
CNN Posts Alleged Audio of Michael Brown Shooting,2434,2
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",2147,3
"Man chops off own penis, throws it in a dustbin after poor show in bed",1400,3
Kim Had Ankle Surgery:  Source,1103,3
"So, There Might Be a Rat Infestation at Vogue",692,3
6 hidden mass graves may hold missing Mexican students,1538,3
Soldier shot in Ottawa at War Memorial,2281,0
Utah Man Hospitalized After Winning Eggnog Chugging Contest,2440,3
ISIS fighters ‘have contracted Ebola’,1034,3
URGENT: ISIS leader Abu Bakr al-Baghdadi allegedly killed by US airstrikes,936,3
CNN Plays Alleged Recording of Michael Brown Shooting,1605,2
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,737,3
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",438,3
Did a Meteorite Impact in Nicaragua over the Weekend?,2129,3
Vandal paints penis on £1.5million Bugatti Veyron,1453,1
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1954,0
"Would you pay $10,000 for the Apple Watch?",2187,2
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,986,1
Durex is not confirming or denying rumors of a “pumpkin spice” condom,181,3
"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",2509,3
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2306,3
New iOS 8 bug can delete all of your iCloud documents,2304,3
"NYPD to stop arresting for low-level marijuana charges, will issue tickets instead: source",1383,3
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,502,2
Russian Man Wakes Up to Find His Testicles Have Been Stolen,1258,3
Canadian-Israeli Woman Says She Hasn’t Been Captured By ISIS,2067,3
EXCLUSIVE: New York Mag’s Boy Genius Investor Made It All Up,1693,3
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",892,3
GOP Rep: ‘At Least Ten ISIS Fighters Have Been Caught Coming Across The Mexican Border’,2367,2
"Israel opens dams, floods Gaza",1965,1
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",1179,3
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1009,3
Is Kim Jong Un's sister Kim Yo Jong in charge?,2046,3
"Want a Gold Apple Watch? All You Need is $5,000",607,3
WSJ: Apple cut watch health features due to erratic sensors,1707,3
ISIS Beheads American Journalist,2127,3
"Meet Magneto Boy, the kid who attracts metal with his body",244,3
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",615,3
Rapper Big Bank Hank of Sugarhill Gang dies at 57,1831,0
Report: Apple Watch to Ship in March,554,3
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,1697,3
Christian Bale set to play Steve Jobs in forthcoming biopic of Apple co-founder,1299,1
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,682,3
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2528,3
Vladimir Putin’s Motorcade Looks Like A Massive Knob,1021,3
Incredible Video Shows A US Marine Surviving Being Shot In The Head By A Sniper In Afghanistan,1210,3
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",487,3
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,2250,2
Terrorism fears rise amid reports of stolen jetliners,2495,3
BREAKING: ISIS Beheads American Journalist James Wright Foley,1471,0
Senator: Detainees swapped for Bergdahl have contacted militants,1398,3
Missing American journalist reportedly beheaded by Islamic State ,1948,2
CNN Airs Alleged Audio from Michael Brown Shooting,1299,3
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",125,3
Texas City plumber's truck ends up in Syrian war,662,3
Islamic State claims to have beheaded American journalist,1166,3
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,2149,2
Robot security guards now patrolling Microsoft's Silicon Valley campus,300,3
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",2139,2
"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",2003,2
Luke Somers 'killed in failed rescue attempt in Yemen',1256,3
Government fires employee who skipped work for 24 years,936,3
NYC relaxes response to marijuana possession,775,3
Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,1539,3
Christian Bale won't play Steve Jobs,195,3
Banksy arrest hoax: Internet duped by fake report claiming that the street artist's identity has been revealed,1349,3
Indian worker sacked after going on leave for 24 years,844,3
'Jihadi John' named as Mohammed Emwazi from London,2165,0
Audio may have captured Michael Brown shooting,456,3
"Boko Haram claims to have German hostage, denies ceasefire",2489,3
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,688,2
Mexican students not among bodies found in mass graves,1795,0
Michael Phelps’ alleged girlfriend says she was born intersex,89,3
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1439,3
"Pictured: Heroic sergeant-at-arms, 58, walking through Parliament gun in hand just moments after he killed gunman Michael Zehaf-Bibeau",139,3
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,1376,0
Judd Nelson Death Hoax: FOX News Impersonator Claims Actor Found Dead In Los Angeles Condo,2481,3
Apple Watch battery will require nightly charging,1854,3
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,171,3
Cesar Millan is Not Dead: Dog Whisperer Death Hoax Circulates,1429,3
The Apple Watch's battery life will reportedly be just like any other smartwatch,1904,3
Islamic State militants claim to behead missing American journalist,2096,2
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,922,0
Michael Brown shooting audio caught on tape?,2187,3
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,879,3
"Are missing students in mass graves found near Iguala, Mexico?",1795,2
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1251,3
Michael Phelps' Reported Girlfriend Reveals She Was Born Intersex,521,3
New Audio Recording From Ferguson May Capture Michael Brown Shooting,1818,2
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",1883,3
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1106,2
"Yemen says U.S. man freed, sister says he’s dead",1187,2
Terrorism fears rise amid reports of stolen jetliners,846,3
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1634,3
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",167,3
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",698,3
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,964,3
"Why the Gold Apple Watch Edition Must Cost $10,000",2448,3
Kim Jong-un 'so fat he has fractured his ankles',2053,2
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",2261,3
"Stainless steel Apple Watch could cost just $499, but gold will be 10 times as pricey",403,3
American hostage killed in rescue attempt in Yemen - senior official,1256,3
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1982,3
Lebanon 'holding IS leader's daughter and ex-wife',530,3
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",874,3
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,459,3
Mexican investigators fear mass grave might hold 43 missing students,2375,3
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,761,3
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1430,2
Mohammed Islam Denies Making $72 Million From Stock Market Trading,313,3
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,1314,2
Reports: Islamic State uses chlorine gas against Iraqi forces,2197,3
Fence-jumper made it farther in White House than Secret Service let on,2230,3
Is Kim Jong-Un Really Opening a Restaurant in Scotland?,1756,2
Doubts cast over Nicaragua meteorite claim,1179,3
"ISIS using bombs containing live SCORPIONS in effort to spread panic, in tactic used 2,000 years ago against Romans",48,3
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,2248,3
Amazon.com to open first physical store in Manhattan: DJ,1360,3
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,1256,3
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2092,3
"Hostage David Haines' Murder 'Evil', PM Says",1182,0
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,1744,3
Jihadi John ‘identified as British man from West London’,503,3
Vice CEO Throws Down $300K on Lavish Vegas Dinner,2251,3
Homeland Security: No ISIL fighters on U.S. border,239,3
Priest who died for 48 minutes says he met God and she’s a woman,11,2
Missing Mexico students not among 28 bodies found in mass grave,61,3
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,1948,3
Watch moment TV weatherman is caught urinating in the bushes LIVE on camera,2511,2
A Letter Lego Sent to Parents in 1974 Holds an Important Message for the Parents of 2014,212,2
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,86,3
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1358,3
See the Crater a Meteorite Made in Nicaragua,731,3
Pumpkin Spice condoms? Don't fall for this hoax.,2410,3
7 Bosnian teens get pregnant on school trip,2230,3
Audio may have captured Michael Brown shooting,1299,3
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,1438,3
No One In North Korea Is Allowed To Share Kim Jong Un's Name,1975,3
WHO investigates media reports ISIS fighters contracted Ebola,1974,2
"So, There Might Be a Rat Infestation at Vogue",2064,2
Batmobile Rumored To Have Been Stolen From Batman V. Superman: Dawn Of Justice Set,2135,2
"Meet Magneto Boy, the kid who attracts metal with his body",858,3
Journalist James Wright Foley reportedly beheaded by ISIS,1372,3
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",2081,3
"Despite ceasefire announcement, new Boko Haram attacks reported",2356,2
"Gill Rosenberg, Canadian citizen, reportedly captured by ISIS in Syria",2037,2
Kim Jong-un: obese leader 'fractured both ankles',2087,3
"Catholic priest dies for 48 mins, wakes up claiming God is a woman",858,3
Boko Haram denies truce to release kidnapped schoolgirls,1697,3
The Case of the Stolen Batmobile Has Been Solved,1673,3
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,2313,3
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",527,3
Apple in talks to become launch partner for cable-free HBO Now service,2028,3
London hip-hop artist Abdel-Majed Abdel Bary key suspect in hunt for killer of American journalist James Foley,760,3
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,2175,3
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,125,3
Isis tells mother on rescue mission :’You’ve just eaten your son’,121,3
"Sorry, Everyone: Durex Is Unfortunately Not Making Pumpkin Spice Condoms",2240,3
Obama: murder of James Foley 'shocks the conscience of the entire world',2404,3
Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,951,2
Son pays off his parents' mortgage in a heartwarming Christmas video,377,3
Watch moment TV weatherman is caught urinating in the bushes LIVE on camera,2419,3
Islamic State Declares Captured Aid Worker to be 'Innocent',2524,3
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,1004,3
Man who SLAPS people if they sneeze in public being hunted by police,959,3
Predator drones being flown over Isil's Syrian 'capital',1159,2
Judd Nelson Death Hoax: FOX News Impersonator Claims Actor Found Dead In Los Angeles Condo,585,3
Seth Rogen Is Woz,357,2
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",1371,0
"UPDATED 'Jihadi John' identified as Mohammed Emwazi of London, reports say",1308,3
ISIL Beheads American Photojournalist in Iraq,2403,3
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,568,3
ISIS Militant “Jihadi John” Identified As Young West Londoner,158,3
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,1103,3
WTC rats scare off Anna Wintour,2520,2
Has North Korean dictator Kim Jong-un been replaced by his sister?,706,3
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,874,3
Nigeria and Boko Haram 'agree ceasefire and girls' release',1906,3
Luke Somers: British-born photojournalist 'killed by al-Qaeda after failed rescue attempt in Yemen',1746,3
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",2526,3
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1603,3
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),730,3
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,381,3
Officials shoot down congressman's claims ISIS terrorists are running across US-Mexico border,2039,3
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",958,3
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,387,3
Reports: Boko Haram may release schoolgirls as part of deal,1125,3
Passenger Wears A Hazmat Suit To Dulles Airport [PHOTO],2046,3
